TIMESTAMP,ID,ORD_NUM,INVOICE_NO,INVOICE_DATE,SHIP_QTY,SHIP_DATE,TRANSPORT_TYPE,CURRENT_CURRENCY_RATE
"2023-10-05 11:37:00",1,ORD117865105-S(1),IN93810010,2024-01-09,6,2024-01-13,Air,89.3
"2023-10-05 11:38:00",2,ORD160885105-S(1),IN93810010,2024-01-09,5,2024-01-13,Air,89.3
"2023-10-05 11:41:00",3,ORD145864105-S(1),IN14810010,2024-01-08,21,2024-01-08,Air,89.35
"2023-10-05 11:43:00",4,ORD135865105-S(1),IN82810010,2024-01-02,4,2024-01-02,Air,89.35
"2023-10-05 11:46:00",5,ORD185875105-S(1),IN82810010,2024-01-02,23,2024-01-02,Air,22
"2023-10-09 06:25:00",6,ORD160844105-S(1),IN73800010,2023-12-05,5,2023-12-06,Air,87.9
"2023-10-09 06:25:00",7,ORD132885105-S(1),IN73800010,2023-12-05,5,2023-12-06,Air,87.9
"2023-10-10 08:28:00",8,ORD184865105-S(1),IN63800010,2023-11-14,46,2023-11-22,Air,87.65
"2023-11-09 11:31:00",9,ORD119836105-S(1),IN67810010,2024-02-16,1203,2024-02-16,Sea,104.8
"2023-11-24 11:37:00",10,ORD11786510-S(1),IN9381001,2024-02-28,6,2024-03-03,Air,89.3
"2023-11-24 11:38:00",11,ORD16088510-S(1),IN9381001,2024-02-28,5,2024-03-03,Air,89.3
"2023-11-24 11:41:00",12,ORD14586410-S(1),IN1481001,2024-02-27,21,2024-02-27,Air,89.35
"2023-11-24 11:43:00",13,ORD13586510-S(1),IN8281001,2024-02-21,4,2024-02-21,Air,89.35
"2023-11-24 11:46:00",14,ORD18587510-S(1),IN8281001,2024-02-21,23,2024-02-21,Air,22
"2023-11-28 06:25:00",15,ORD16084410-S(1),IN7380001,2024-01-24,5,2024-01-25,Air,87.9
"2023-11-28 06:25:00",16,ORD13288510-S(1),IN7380001,2024-01-24,5,2024-01-25,Air,87.9
"2023-11-29 08:28:00",17,ORD18486510-S(1),IN6380001,2024-01-03,46,2024-01-11,Air,87.65
"2023-12-02 06:03:00",18,ORD181803105,IN26870010,2023-03-23,2,2023-03-29,Air,89
"2023-12-02 06:07:00",19,ORD188872105,IN14870010,2023-03-15,2382,2023-03-28,Sea,101.15
"2023-12-02 06:18:00",20,ORD100853105,IN67870010,2023-04-12,2,2023-04-12,Air,82.2
"2023-12-02 06:19:00",21,ORD158813105,IN62890010,2023-06-23,560,2023-07-01,Sea,103.9
"2023-12-02 06:26:00",22,ORD120823105,IN22890010,2023-06-23,1568,2023-06-29,Sea,103.9
"2023-12-02 06:33:00",23,ORD184833105,IN91890010,2023-06-23,2447,2023-06-29,Sea,103.9
"2023-12-02 06:36:00",24,ORD120853105,IN67870010,2023-04-12,3,2023-04-12,Air,88.55
