TIMESTAMP,ID,ORD_NUM,REASON
"2023-11-18 05:32:00",1,ORD130836105,"Failure in Fit Approval"
"2023-11-27 04:31:00",2,ORD102806105,"Trim/Accessory Mismatch"
"2023-11-27 04:31:00",3,ORD112806105,"Fabric Quality Not as Per Approved Standard"
"2023-11-27 04:33:00",4,ORD191806105,"Order Shifted to Another Supplier"
"2023-11-27 04:34:00",5,ORD110805105,"Over-Promise in Capacity"
"2023-11-27 04:34:00",6,ORD120805105,"Buyer Changed Order Specifications"
"2023-11-27 04:36:00",7,ORD100805105,"Non-Compliance with Buyer’s Ethical Standards"
"2023-11-28 09:13:00",8,ORD130846105,"Fabric Quality Not as Per Approved Standard"
"2023-11-28 09:14:00",9,ORD120846105,"Buyer Lost End Customer"
"2023-11-28 09:51:00",10,ORD161806105,"Political/Trade Restrictions"
"2023-12-08 04:15:00",11,ORD124826105,"Trim/Accessory Mismatch"
"2023-12-12 06:06:00",12,ORD140845105,"Wrong Garment Measurements"
"2023-12-19 06:44:00",13,ORD108895105,"Buyer’s Budget Cut"
"2023-12-19 08:39:00",14,ORD164806105,"Delayed Delivery Schedule"
"2023-12-19 11:00:00",15,ORD188855105,"Change in Fashion Trend"
"2023-12-22 04:12:00",16,ORD158856105,"Buyer’s Budget Cut"
"2024-01-03 04:30:00",17,ORD124885105,"Wrong Garment Measurements"
"2024-01-07 05:32:00",18,ORD13083610,"Order Shifted to Another Supplier"
"2024-01-16 04:31:00",19,ORD10280610,"Quality Issues in Pre-Production Samples"
"2024-01-16 04:31:00",20,ORD11280610,"Non-Compliance with Buyer’s Ethical Standards"
"2024-01-16 04:33:00",21,ORD19180610,"Fabric Shortage or Wrong Fabric Procurement"
"2024-01-16 04:34:00",22,ORD11080510,"Fabric Shortage or Wrong Fabric Procurement"
"2024-01-16 04:34:00",23,ORD12080510,"Trim/Accessory Mismatch"
"2024-01-16 04:36:00",24,ORD10080510,"Poor Communication or Delayed Approvals"
"2024-01-17 09:13:00",25,ORD13084610,"Color Shade Variation"
"2024-01-17 09:14:00",26,ORD12084610,"Over-Promise in Capacity"
"2024-01-17 09:51:00",27,ORD16180610,"Buyer Changed Order Specifications"
"2024-01-19 06:31:00",28,ORD155865105,"Delayed Delivery Schedule"
"2024-01-19 06:32:00",29,ORD175865105,"Buyer Lost End Customer"
"2024-01-19 06:32:00",30,ORD106865105,"Buyer Changed Order Specifications"
"2024-01-19 06:32:00",31,ORD186865105,"Non-Compliance with Buyer’s Ethical Standards"
"2024-01-27 04:15:00",32,ORD12482610,"Failure in Lab Testing"
"2024-01-31 06:06:00",33,ORD14084510,"Buyer’s Budget Cut"
"2024-02-07 06:44:00",34,ORD10889510,"Wrong Garment Measurements"
"2024-02-07 08:39:00",35,ORD16480610,"Political/Trade Restrictions"
"2024-02-07 11:00:00",36,ORD18885510,"Buyer Lost End Customer"
"2024-02-10 04:12:00",37,ORD15885610,"Poor Communication or Delayed Approvals"
"2024-02-19 06:12:00",38,ORD140896105,"Failure in Fit Approval"
"2024-02-19 06:16:00",39,ORD133876105,"Buyer Changed Order Specifications"
"2024-02-19 06:21:00",40,ORD111896105,"Order Shifted to Another Supplier"
"2024-02-19 06:29:00",41,ORD151896105,"Incorrect Branding / Labeling"
"2024-02-19 07:05:00",42,ORD166816105,"Fabric Shortage or Wrong Fabric Procurement"
"2024-02-22 04:30:00",43,ORD12488510,"Order Shifted to Another Supplier"
"2024-02-28 11:06:00",44,ORD196806105,"Political/Trade Restrictions"
"2024-02-28 11:06:00",45,ORD132856105,"Failure in Fit Approval"
"2024-02-28 11:07:00",46,ORD123875105,"Order Shifted to Another Supplier"
"2024-02-28 11:07:00",47,ORD166806105,"Poor Communication or Delayed Approvals"
"2024-02-28 11:07:00",48,ORD172856105,"Quality Issues in Pre-Production Samples"
"2024-03-02 10:16:00",49,ORD107836105,"Change in Fashion Trend"
"2024-03-05 11:58:00",50,ORD166885105,"Buyer Lost End Customer"
"2024-03-09 06:31:00",51,ORD15586510,"Change in Fashion Trend"
"2024-03-09 06:32:00",52,ORD17586510,"Fabric Shortage or Wrong Fabric Procurement"
"2024-03-09 06:32:00",53,ORD10686510,"Trim/Accessory Mismatch"
"2024-03-09 06:32:00",54,ORD18686510,"Fabric Quality Not as Per Approved Standard"
"2024-04-01 10:08:00",55,ORD177885105,"Color Shade Variation"
"2024-04-03 06:49:00",56,ORD106856105,"Buyer Lost End Customer"
"2024-04-03 06:50:00",57,ORD126856105,"Wrong Garment Measurements"
"2024-04-09 06:12:00",58,ORD14089610,"Order Shifted to Another Supplier"
"2024-04-09 06:16:00",59,ORD13387610,"Defective Bulk Production"
"2024-04-09 06:21:00",60,ORD11189610,"Delayed Delivery Schedule"
"2024-04-09 06:29:00",61,ORD15189610,"Political/Trade Restrictions"
"2024-04-09 07:05:00",62,ORD16681610,"Trim/Accessory Mismatch"
"2024-04-18 11:06:00",63,ORD19680610,"Change in Fashion Trend"
"2024-04-18 11:06:00",64,ORD13285610,"Over-Promise in Capacity"
"2024-04-18 11:07:00",65,ORD12387510,"Order Shifted to Another Supplier"
"2024-04-18 11:07:00",66,ORD16680610,"Incorrect Branding / Labeling"
"2024-04-18 11:07:00",67,ORD17285610,"Change in Fashion Trend"
"2024-04-21 10:16:00",68,ORD10783610,"Poor Communication or Delayed Approvals"
"2024-04-24 11:58:00",69,ORD16688510,"Change in Fashion Trend"
"2024-05-21 10:08:00",70,ORD17788510,"Order Shifted to Another Supplier"
"2024-05-22 09:26:00",71,ORD173836105,"Trim/Accessory Mismatch"
"2024-05-22 09:26:00",72,ORD115836105,"Color Shade Variation"
"2024-05-22 09:27:00",73,ORD154836105,"Political/Trade Restrictions"
"2024-05-22 09:27:00",74,ORD137867105,"Failure in Lab Testing"
"2024-05-22 09:28:00",75,ORD193836105,"Failure in Fit Approval"
"2024-05-22 09:29:00",76,ORD194836105,"Buyer Changed Order Specifications"
"2024-05-22 09:30:00",77,ORD133846105,"Incorrect Branding / Labeling"
"2024-05-22 09:30:00",78,ORD163866105,"Delayed Delivery Schedule"
"2024-05-22 09:31:00",79,ORD183846105,"Poor Communication or Delayed Approvals"
"2024-05-22 09:34:00",80,ORD138836105,"Fabric Shortage or Wrong Fabric Procurement"
"2024-05-22 09:34:00",81,ORD146866105,"Buyer Changed Order Specifications"
"2024-05-22 09:35:00",82,ORD148836105,"Trim/Accessory Mismatch"
"2024-05-22 09:35:00",83,ORD109886105,"Fabric Shortage or Wrong Fabric Procurement"
"2024-05-22 09:44:00",84,ORD148866105,"Quality Issues in Pre-Production Samples"
"2024-05-23 06:49:00",85,ORD10685610,"Wrong Garment Measurements"
"2024-05-23 06:50:00",86,ORD12685610,"Quality Issues in Pre-Production Samples"
"2024-05-26 12:01:00",87,ORD180887105,"Fabric Quality Not as Per Approved Standard"
"2024-06-07 06:50:00",88,ORD160806105,"Fabric Quality Not as Per Approved Standard"
"2024-07-11 09:26:00",89,ORD17383610,"Wrong Garment Measurements"
"2024-07-11 09:26:00",90,ORD11583610,"Fabric Shortage or Wrong Fabric Procurement"
"2024-07-11 09:27:00",91,ORD15483610,"Failure in Lab Testing"
"2024-07-11 09:27:00",92,ORD13786710,"Buyer Changed Order Specifications"
"2024-07-11 09:28:00",93,ORD19383610,"Change in Fashion Trend"
"2024-07-11 09:29:00",94,ORD19483610,"Fabric Quality Not as Per Approved Standard"
"2024-07-11 09:30:00",95,ORD13384610,"Failure in Lab Testing"
"2024-07-11 09:30:00",96,ORD16386610,"Poor Communication or Delayed Approvals"
"2024-07-11 09:31:00",97,ORD18384610,"Political/Trade Restrictions"
"2024-07-11 09:34:00",98,ORD13883610,"Over-Promise in Capacity"
"2024-07-11 09:34:00",99,ORD14686610,"Wrong Garment Measurements"
"2024-07-11 09:35:00",100,ORD14883610,"Fabric Shortage or Wrong Fabric Procurement"
"2024-07-11 09:35:00",101,ORD10988610,"Defective Bulk Production"
"2024-07-11 09:44:00",102,ORD14886610,"Buyer Lost End Customer"
"2024-07-15 12:01:00",103,ORD18088710,"Delayed Delivery Schedule"
"2024-07-27 06:50:00",104,ORD16080610,"Fabric Shortage or Wrong Fabric Procurement"
"2024-08-30 07:03:00",105,ORD155838105,"Wrong Garment Measurements"
"2024-08-30 10:57:00",106,ORD122808105,"Trim/Accessory Mismatch"
"2024-09-09 10:01:00",107,ORD167828105,"Order Shifted to Another Supplier"
"2024-10-19 07:03:00",108,ORD15583810,"Wrong Garment Measurements"
"2024-10-19 10:57:00",109,ORD12280810,"Delayed Delivery Schedule"
"2024-10-29 10:01:00",110,ORD16782810,"Trim/Accessory Mismatch"
"2024-12-21 04:28:00",111,ORD156887105,"Order Shifted to Another Supplier"
"2025-02-09 04:28:00",112,ORD15688710,"Defective Bulk Production"
