ID,TIMESTAMP,ORD_NUM,RECEIVED_AMT,INVOICE_NUMBER
1,"2024-03-11 06:14:00",ORD188872105,29762.5,IN14870010
2,"2024-03-11 06:20:00",ORD100853105,180,IN67870010
3,"2024-03-11 06:21:00",ORD158813105,4527.9,IN62890010
4,"2024-03-11 06:29:00",ORD120823105,11595.8,IN22890010
5,"2024-03-11 06:35:00",ORD184833105,26906,IN91890010
6,"2024-03-11 06:41:00",ORD120853105,350,IN67870010
7,"2024-03-11 06:41:00",ORD195843105,15151.5,IN73870010
8,"2024-03-11 06:45:00",ORD106843105,4838.4,IN42880010
9,"2024-03-11 06:51:00",ORD157843105,24352.8,IN34870010
10,"2024-03-11 07:01:00",ORD134873105,22054.2,IN99870010
11,"2024-03-11 07:03:00",ORD115853105,2374.4,IN46880010
12,"2024-03-11 07:06:00",ORD184873105,14652,IN80880010
13,"2024-03-11 07:13:00",ORD194873105,21375.9,IN64880010
14,"2024-03-11 07:15:00",ORD125853105,133.5,IN46880010
15,"2024-03-11 07:18:00",ORD105873105,30020.2,IN08880010
16,"2024-03-11 07:25:00",ORD125873105,22313.2,IN38880010
17,"2024-03-11 07:29:00",ORD145873105,6611,IN63890010
18,"2024-03-11 08:07:00",ORD195873105,5122.15,IN50880010
19,"2024-03-11 08:12:00",ORD106873105,11232.8,IN31890010
20,"2024-03-11 08:21:00",ORD116873105,11613.6,IN21880010
21,"2024-03-11 08:26:00",ORD136873105,1221,IN25890010
22,"2024-03-11 08:30:00",ORD170863105,600,IN33880010
23,"2024-03-11 08:32:00",ORD186873105,13087.8,IN31880010
24,"2024-03-11 08:37:00",ORD196873105,8631,IN35880010
25,"2024-03-11 08:43:00",ORD190863105,1311.2,IN33880010
26,"2024-03-11 08:44:00",ORD107873105,5924.5,IN98880010
27,"2024-03-11 08:50:00",ORD117873105,13997.4,IN84880010
28,"2024-03-11 08:59:00",ORD127873105,10393,IN52890010
29,"2024-03-11 09:01:00",ORD111863105,2112,IN33880010
30,"2024-03-11 09:10:00",ORD137873105,6915,IN28870010
