TIMESTAMP,ID,ORD_NUM,AWB_BILL_NO,INVOICE_NO,SHIP_DATE
"2024-03-04 07:06:00",1,ORD108844105,XXXXXXXXXXXXXXXX,IN61800100,2023-11-20
"2024-03-11 06:06:00",2,ORD181803105,XXXXXXXXXXXXXXXX,IN26870010,2022-12-20
"2024-03-11 06:08:00",3,ORD188872105,XXXXXXXXXXXXXXXX,IN14870010,2022-12-18
"2024-03-11 06:19:00",4,ORD100853105,XXXXXXXXXXXXXXXX,IN67870010,2023-01-02
"2024-03-11 06:20:00",5,ORD158813105,XXXXXXXXXXXXXXXX,IN62890010,2023-04-02
"2024-03-11 06:27:00",6,ORD120823105,XXXXXXXXXXXXXXXX,IN22890010,2023-04-02
"2024-03-11 06:34:00",7,ORD184833105,XXXXXXXXXXXXXXXX,IN91890010,2023-04-02
"2024-03-11 06:39:00",8,ORD120853105,XXXXXXXXXXXXXXXX,IN67870010,2023-01-02
"2024-03-11 06:40:00",9,ORD195843105,XXXXXXXXXXXXXXXX,IN73870010,2022-12-18
"2024-03-11 06:44:00",10,ORD106843105,XXXXXXXXXXXXXXXX,IN42880010,2023-02-12
"2024-03-11 06:50:00",11,ORD157843105,XXXXXXXXXXXXXXXX,IN34870010,2022-12-25
"2024-03-11 07:00:00",12,ORD134873105,XXXXXXXXXXXXXXXX,IN99870010,2023-02-06
"2024-03-11 07:02:00",13,ORD115853105,XXXXXXXXXXXXXXXX,IN46880010,2023-02-20
"2024-03-11 07:05:00",14,ORD184873105,XXXXXXXXXXXXXXXX,IN80880010,2023-02-06
"2024-03-11 07:12:00",15,ORD194873105,XXXXXXXXXXXXXXXX,IN64880010,2023-03-19
"2024-03-11 07:16:00",16,ORD125853105,XXXXXXXXXXXXXXXX,IN46880010,2023-02-20
"2024-03-11 07:17:00",17,ORD105873105,XXXXXXXXXXXXXXXX,IN08880010,2023-03-12
"2024-03-11 07:23:00",18,ORD125873105,XXXXXXXXXXXXXXXX,IN38880010,2023-03-12
"2024-03-11 07:28:00",19,ORD145873105,XXXXXXXXXXXXXXXX,IN63890010,2023-04-24
"2024-03-11 08:06:00",20,ORD195873105,XXXXXXXXXXXXXXXX,IN50880010,2023-02-06
"2024-03-11 08:11:00",21,ORD106873105,XXXXXXXXXXXXXXXX,IN31890010,2023-04-02
"2024-03-11 08:20:00",22,ORD116873105,XXXXXXXXXXXXXXXX,IN21880010,2023-02-06
"2024-03-11 08:26:00",23,ORD136873105,XXXXXXXXXXXXXXXX,IN25890010,2023-05-09
"2024-03-11 08:28:00",24,ORD170863105,XXXXXXXXXXXXXXXX,IN33880010,2023-02-06
"2024-03-11 08:31:00",25,ORD186873105,XXXXXXXXXXXXXXXX,IN31880010,2023-02-06
"2024-03-11 08:36:00",26,ORD196873105,XXXXXXXXXXXXXXXX,IN35880010,2023-03-19
"2024-03-11 08:40:00",27,ORD190863105,XXXXXXXXXXXXXXXX,IN33880010,2023-02-06
"2024-03-11 08:43:00",28,ORD107873105,XXXXXXXXXXXXXXXX,IN98880010,2023-03-12
"2024-03-11 08:48:00",29,ORD117873105,XXXXXXXXXXXXXXXX,IN84880010,2023-03-19
"2024-03-11 08:57:00",30,ORD127873105,XXXXXXXXXXXXXXXX,IN52890010,2023-04-02
"2024-03-11 09:03:00",31,ORD111863105,XXXXXXXXXXXXXXXX,IN33880010,2023-02-06
"2024-03-11 09:09:00",32,ORD137873105,XXXXXXXXXXXXXXXX,IN28870010,2023-01-29
"2024-03-11 09:14:00",33,ORD147873105,XXXXXXXXXXXXXXXX,IN68870010,2023-01-29
"2024-03-11 09:17:00",34,ORD121863105,XXXXXXXXXXXXXXXX,IN33880010,2023-02-06
"2024-03-11 09:19:00",35,ORD157873105,XXXXXXXXXXXXXXXX,IN41880010,2023-02-06
"2024-03-11 09:24:00",36,ORD197873105,XXXXXXXXXXXXXXXX,IN45880010,2023-03-19
"2024-03-11 09:30:00",37,ORD108873105,XXXXXXXXXXXXXXXX,IN38870010,2023-01-29
"2024-03-11 09:36:00",38,ORD131863105,XXXXXXXXXXXXXXXX,IN33880010,2023-02-06
"2024-03-11 09:36:00",39,ORD128873105,XXXXXXXXXXXXXXXX,IN05880010,2023-03-12
"2024-03-11 09:41:00",40,ORD168873105,XXXXXXXXXXXXXXXX,IN70890010,2023-03-26
"2024-03-11 09:44:00",41,ORD178873105,XXXXXXXXXXXXXXXX,IN11890010,2023-03-26
"2024-03-11 09:49:00",42,ORD109873105,XXXXXXXXXXXXXXXX,IN40890010,2023-03-26
"2024-03-11 09:53:00",43,ORD119873105,XXXXXXXXXXXXXXXX,IN74880010,2023-03-19
"2024-03-11 09:57:00",44,ORD129873105,XXXXXXXXXXXXXXXX,IN90890010,2023-03-26
"2024-03-11 10:00:00",45,ORD139873105,XXXXXXXXXXXXXXXX,IN15880010,2023-03-19
"2024-03-11 10:04:00",46,ORD196893105,XXXXXXXXXXXXXXXX,IN07870010,2023-01-08
"2024-03-11 10:08:00",47,ORD110804105,XXXXXXXXXXXXXXXX,IN71880010,2023-02-12
"2024-03-11 10:12:00",48,ORD120804105,XXXXXXXXXXXXXXXX,IN13870010,2022-12-15
"2024-03-11 10:16:00",49,ORD130804105,XXXXXXXXXXXXXXXX,IN53870010,2022-12-15
"2024-03-11 10:19:00",50,ORD181863105,XXXXXXXXXXXXXXXX,IN33880010,2023-02-06
"2024-03-11 10:20:00",51,ORD140804105,XXXXXXXXXXXXXXXX,IN12880010,2023-02-12
"2024-03-11 10:24:00",52,ORD150804105,XXXXXXXXXXXXXXXX,IN33870010,2022-12-15
"2024-03-11 10:28:00",53,ORD160804105,XXXXXXXXXXXXXXXX,IN91880010,2023-02-12
"2024-03-11 10:31:00",54,ORD170804105,XXXXXXXXXXXXXXXX,IN43870010,2022-12-15
"2024-03-11 11:50:00",55,ORD102863105,XXXXXXXXXXXXXXXX,IN33880010,2023-02-06
"2024-03-11 12:18:00",56,ORD179863105,XXXXXXXXXXXXXXXX,IN13880010,2023-02-06
"2024-03-11 12:39:00",57,ORD189863105,XXXXXXXXXXXXXXXX,IN13880010,2023-02-06
"2024-03-13 04:48:00",58,ORD199863105,XXXXXXXXXXXXXXXX,IN13880010,2023-02-06
"2024-03-13 05:15:00",59,ORD120873105,XXXXXXXXXXXXXXXX,IN13880010,2023-02-06
"2024-03-13 05:39:00",60,ORD140873105,XXXXXXXXXXXXXXXX,IN13880010,2023-02-06
"2024-03-13 06:05:00",61,ORD141873105,XXXXXXXXXXXXXXXX,IN24880010,2023-02-13
"2024-03-13 06:26:00",62,ORD122873105,XXXXXXXXXXXXXXXX,IN34880010,2023-02-20
"2024-03-13 06:50:00",63,ORD120893105,XXXXXXXXXXXXXXXX,IN66880010,2023-03-11
"2024-03-13 07:03:00",64,ORD130893105,XXXXXXXXXXXXXXXX,IN66880010,2023-03-11
"2024-03-13 07:20:00",65,ORD170893105,XXXXXXXXXXXXXXXX,IN66880010,2023-03-11
"2024-03-13 08:11:00",66,ORD188893105,XXXXXXXXXXXXXXXX,IN32870010,2022-11-22
"2024-03-13 08:28:00",67,ORD129893105,XXXXXXXXXXXXXXXX,IN95890010,2023-05-13
"2024-03-13 08:48:00",68,ORD139893105,XXXXXXXXXXXXXXXX,IN95890010,2023-05-13
"2024-03-13 09:15:00",69,ORD159893105,XXXXXXXXXXXXXXXX,IN95890010,2023-05-13
"2024-03-13 09:34:00",70,ORD179893105,XXXXXXXXXXXXXXXX,IN95890010,2023-05-13
"2024-03-13 10:14:00",71,ORD182804105,XXXXXXXXXXXXXXXX,IN66890010,2023-05-20
"2024-03-13 10:29:00",72,ORD192804105,XXXXXXXXXXXXXXXX,IN66890010,2023-05-20
"2024-03-13 11:05:00",73,ORD126804105,XXXXXXXXXXXXXXXX,IN46890010,2023-05-13
"2024-03-13 11:15:00",74,ORD146804105,XXXXXXXXXXXXXXXX,IN3180100100,2023-05-30
"2024-03-13 11:34:00",75,ORD117804105,XXXXXXXXXXXXXXXX,IN46890010,2023-05-13
"2024-03-13 11:46:00",76,ORD100814105,XXXXXXXXXXXXXXXX,IN86890010,2023-05-16
"2024-03-13 11:55:00",77,ORD172814105,XXXXXXXXXXXXXXXX,IN95890010,2023-05-13
"2024-03-13 12:19:00",78,ORD170824105,XXXXXXXXXXXXXXXX,IN46890010,2023-05-13
"2024-03-14 04:31:00",79,ORD190804105,XXXXXXXXXXXXXXXX,IN23870010,2022-12-15
"2024-03-14 04:34:00",80,ORD190824105,XXXXXXXXXXXXXXXX,IN66880010,2023-03-11
"2024-03-14 04:46:00",81,ORD101824105,XXXXXXXXXXXXXXXX,IN66880010,2023-03-11
"2024-03-14 04:53:00",82,ORD101804105,XXXXXXXXXXXXXXXX,IN81880010,2023-02-12
